Parcela;Idade;DAP;DAPmin;DAPmax;Hdom;N;G;VolTotal
1;6,212183436;13,67578947;5,5;18,9;9,514285714;1305,303655;19,70138595;90,50861606
1;8,213552361;17,25157895;6,1;24,4;12,94285714;1305,303655;31,49423973;180,8775918
1;9,14715948;17,9827957;10,3;26,3;13,94285714;1277,823578;33,42806958;204,6763572
1;12,00273785;20,90473354;12,73239545;31,83098862;18,2;1222,929145;43,49867507;341,3050861
1;13,25119781;21,15866614;12,73239545;32,46760839;19,97142857;1222,929145;44,66112844;386,0798592
1;14,40383299;21,60449438;13,051;34,3;20,92857143;1222,929145;46,80352634;433,9459803
1;15,09377139;22,11797753;13,051;35,3;21,88571429;1222,929145;49,07980333;480,4942363
1;16,57221081;22,99029325;13,20986028;37,40141163;24,58571429;1209,188368;52,71935999;577,553849
2;4,542094456;11,78777778;5,5;15,8;7,3125;1171,569904;13,17854564;51,32708486
2;6,543463381;18,30555556;6,6;24,3;10,85;1171,569904;32,15624763;162,6204362
2;7,474332649;19,48636364;6,7;26,4;13,0125;1145,535017;35,68187974;205,5092641
2;8,840520192;21,36941176;10,2;29,9;16,0875;1106,494141;41,41440638;292,9284965
2;11,00342231;23,40584973;10,50422624;32,78591828;21;1028,388672;46,25019667;421,2649887
2;13,42368241;26,49857143;12,1;35,3;25,4125;911,2304688;51,86119957;563,9478632
2;14,90212183;26,89476073;12,41408556;35,8098622;26,775;911,2304688;53,50152621;628,6594509
2;15,91786448;27,25507246;13,20986028;36,7;27,7;898,2128906;54,0113132;663,5261405
3;4,542094456;11,93157895;3,8;16,2;8,114285714;1305,303655;15,24603735;61,93266955
3;6,543463381;18,29247312;4,8;25,6;11,48571429;1277,823578;35,24059329;186,7271369
3;7,474332649;19,33846154;7,3;26,9;13,7;1250,343501;38,50883382;230,07845
3;8,840520192;21,12840909;9,5;29,9;16,75714286;1209,188368;44,4376759;328,054034
3;11,00342231;23,4462404;10,50422624;34,69577759;21,55714286;1126,743707;50,9202909;479,0015152
3;11,60848734;24,99570264;12,41408556;36,28732702;22,71428571;1044,299045;53,13869501;520,3488437
3;13,42368241;25,95753425;15,3;37,6;24,94285714;1003,076714;55,07891445;591,594159
3;15,91786448;26,71029412;15,8;38,6;27,14285714;934,3728298;55,44764832;650,3525901
4;4,960985626;12,26781609;7,8;15,8;8,2875;1094,752737;13,14637139;54,17033124
4;6,962354552;18,72068966;9,1;23,7;11,525;1094,752737;30,71644087;162,9166431
4;7,898699521;20,08735632;9,867606472;25,8;14;1094,752737;35,48372965;221,372002
4;9,259411362;21,79069767;12,4;28,6;18,05;1082,194661;41,30126643;322,0010905
4;12,02190281;24,85375256;15,59718442;33,10422816;22,7375;1082,194661;52,68029717;544,2316043
4;13,15263518;25,29988336;15,91549431;33,42253805;23,725;1044,443685;53,59132721;553,3169434
4;15,321013;26,35279386;15,91549431;35,10958045;26,2125;981,5253906;54,6449908;618,9490184
4;16,33675565;26,88666667;16,07464925;36,4;27,55;943,774414;54,65883239;636,5936508
